id,term,originalHeadword,type,sourceGroup,meaning,partOfSpeech,pattern,example,collocation,commonMistake,synonymOrContrast,register,pronunciation,category,level,senseId
v0786,get by,,phrasal verb,American phrasal verb core,manage with limited resources,phrasal verb,get by,"The lab can get by for a week with the supplies it has, so everyone involved knew what would happen next.",get by,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","get by means manage with limited resources. By contrast, do without means manage without something.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡɛt baɪ/ Link the words smoothly; give the strongest phrase stress to “by.” For /b/, close both lips completely. Let /aɪ/ glide smoothly, as in my.",daily life,B2,v0786-s1
v0787,get down to,,phrasal verb,American phrasal verb core,begin serious work on something,phrasal verb,get down to + -ing,"Let’s get down to reviewing the final proposal, which helped the manager assign the next responsibility accurately.",get down to + -ing,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"get down to means begin serious work on something. By contrast, lay off means dismiss workers because work or money is limited.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡɛt daʊn tu/ Link the words smoothly; give the strongest phrase stress to “to.”,workplace,B1-B2,v0787-s1
v0788,get in,,phrasal verb,American phrasal verb core,to arrive at a destination or enter a place,phrasal verb,get in,"The train got in ten minutes late, which helped the group avoid a preventable misunderstanding.",get in,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","Get in emphasizes reaching or entering a destination; come in often describes an item, message, or result arriving or becoming available.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡɛt ɪn/ Link the words smoothly; give the strongest phrase stress to “in.” Keep /ɪ/ short and relaxed, as in sit. Keep the final /n/ audible.",travel,B1-B2,v0788-s1
v0789,get into,,phrasal verb,American phrasal verb core,become interested or involved in something,phrasal verb,get into + noun,"Many students get into coding after creating their first game, which gave the teacher clearer information for the following lesson.",get into + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"get into means become interested or involved in something. By contrast, keep up means continue at the same rate.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡɛt ɪntu/ Link the words smoothly; give the strongest phrase stress to “into.” Keep /ɪ/ short and relaxed, as in sit.",education,B2,v0789-s1
v0790,get off,,phrasal verb,American phrasal verb core,leave transportation or finish work,phrasal verb,get off,"I get off work at five on most weekdays, so everyone involved knew what would happen next.",get off,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","get off means leave transportation or finish work. By contrast, get out means leave or become known.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡɛt ɔf/ Link the words smoothly; give the strongest phrase stress to “off.” Keep the final /f/ audible.,daily life,B1-B2,v0790-s1
v0791,get on,,phrasal verb,American phrasal verb core,enter transportation or make progress,phrasal verb,get on,"We got on the bus just before it left, so everyone involved knew what would happen next.",get on,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","get on means enter transportation or make progress. By contrast, get in means enter or arrive.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡɛt ɑn/ Link the words smoothly; give the strongest phrase stress to “on.” Keep the final /n/ audible.,travel,B1-B2,v0791-s1
v0792,get out,,phrasal verb,American phrasal verb core,leave or become known,phrasal verb,get out,"The students got out early because of the storm, which gave the teacher clearer information for the following lesson.",get out,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","get out means leave or become known. By contrast, get off means leave transportation or finish work.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡɛt aʊt/ Link the words smoothly; give the strongest phrase stress to “out.” Keep the final /t/ audible.,daily life,B2,v0792-s1
v0793,get over,,phrasal verb,American phrasal verb core,recover from an illness or difficulty,phrasal verb,get over + noun,"It took several days to get over the flu, so the people affected could understand the practical consequence.",get over + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"get over means recover from an illness or difficulty. By contrast, pull through means recover from a serious difficulty.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡɛt oʊvɚ/ Link the words smoothly; give the strongest phrase stress to “over.” For /v/, touch the upper teeth to the lower lip; do not replace it with /b/.",health,B1-B2,v0793-s1
v0794,get through,,phrasal verb,American phrasal verb core,finish or survive something difficult,phrasal verb,get through + noun,"We got through all five agenda items before noon, which helped the manager assign the next responsibility accurately.",get through + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"get through means finish or survive something difficult. By contrast, take up means begin an activity or occupy time or space.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡɛt θru/ Link the words smoothly; give the strongest phrase stress to “through.”,meetings,B1-B2,v0794-s1
v0795,get together,,phrasal verb,American phrasal verb core,meet socially or for a purpose,phrasal verb,get together,"The science teachers get together once a month to share lessons, which gave the teacher clearer information for the following lesson.",get together,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","get together means meet socially or for a purpose. By contrast, hang out means spend relaxed social time.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡɛt təɡɛðɚ/ Link the words smoothly; give the strongest phrase stress to “together.”,social,B2,v0795-s1
v0796,get up,,phrasal verb,American phrasal verb core,rise from bed or a seated position,phrasal verb,get up,"I usually get up at six on school days, so the class could connect the idea to the next activity.",get up,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","get up means rise from bed or a seated position. By contrast, do without means manage without something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡɛt ʌp/ Link the words smoothly; give the strongest phrase stress to “up.” Keep the final /p/ audible.,daily life,B1-B2,v0796-s1
v0797,give away,,phrasal verb,American phrasal verb core,donate or reveal something,phrasal verb,give away + noun,"The library gave away its older textbooks to a community program, which allowed the board to explain the decision more transparently.",give away + noun,"This taught use is separable. Put a pronoun between the verb and particle: “give it away,” not “give away it.”","give away means donate or reveal something. By contrast, give up means stop trying or surrender something.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡɪv əweɪ/ Link the words smoothly; give the strongest phrase stress to “away.” For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. For /w/, round the lips; do not touch the teeth. Keep /ɪ/ short and relaxed, as in sit.",daily life,B1-B2,v0797-s1
v0798,give back,,phrasal verb,American phrasal verb core,return something,phrasal verb,give + noun + back,"Please give back the calculators before you leave, which gave the teacher clearer information for the following lesson.",give + noun + back,"This taught use is separable. Put a pronoun between the verb and particle: “give it back,” not “give back it.”","give back means return something. By contrast, give up means stop trying or surrender something.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡɪv bæk/ Link the words smoothly; give the strongest phrase stress to “back.” For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. For /b/, close both lips completely. Keep /ɪ/ short and relaxed, as in sit. Keep the final /k/ audible.",teaching,B2,v0798-s1
v0799,give in,,phrasal verb,American phrasal verb core,stop resisting,phrasal verb,give in,"The committee refused to give in to pressure to rush the decision, so the group could make the next decision with clearer information.",give in,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","give in means stop resisting. By contrast, give up means stop trying or surrender something.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡɪv ɪn/ Link the words smoothly; give the strongest phrase stress to “in.” For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. Keep /ɪ/ short and relaxed, as in sit. Keep the final /n/ audible.",disagreement,B1-B2,v0799-s1
v0800,give out,,phrasal verb,American phrasal verb core,distribute or stop functioning,phrasal verb,give out + noun,I gave out the lab instructions before students collected materials.,give out + noun,"This taught use is separable. Put a pronoun between the verb and particle: “give it out,” not “give out it.”","give out means distribute or stop functioning. By contrast, give up means stop trying or surrender something.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡɪv aʊt/ Link the words smoothly; give the strongest phrase stress to “out.” For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. Keep /ɪ/ short and relaxed, as in sit. Keep the final /t/ audible.",teaching,B1-B2,v0800-s1
v0801,give up,,phrasal verb,American phrasal verb core,stop trying or surrender something,phrasal verb,give up,"Since the team still had time to test a different approach, the group did not give up when the first design failed.",give up,"This taught use is separable. Put a pronoun between the verb and particle: “give it up,” not “give up it.”","give up means stop trying or surrender something. By contrast, give in means stop resisting.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡɪv ʌp/ Link the words smoothly; give the strongest phrase stress to “up.” For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. Keep /ɪ/ short and relaxed, as in sit. Keep the final /p/ audible.",motivation,B2,v0801-s1
v0802,go after,,phrasal verb,American phrasal verb core,try to obtain or pursue something,phrasal verb,go after + noun,"She decided to go after a leadership position at the school, which gave the teacher clearer information for the following lesson.",go after + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go after means try to obtain or pursue something. By contrast, pass up means decline an opportunity.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ æftɚ/ Link the words smoothly; give the strongest phrase stress to “after.”,career,B1-B2,v0802-s1
v0803,go against,,phrasal verb,American phrasal verb core,oppose or conflict with something,phrasal verb,go against + noun,"The proposal goes against the district’s existing policy, so the class could connect the idea to the next activity.",go against + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go against means oppose or conflict with something. By contrast, go by means pass or be guided by something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ əɡɛnst/ Link the words smoothly; give the strongest phrase stress to “against.” Keep the final /t/ audible.,policy,B1-B2,v0803-s1
v0804,go ahead,,phrasal verb,American phrasal verb core,proceed,phrasal verb,go ahead with + noun,"The principal gave us permission to go ahead with the event, so the class could connect the idea to the next activity.",go ahead with + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go ahead means proceed. By contrast, go for means choose or try to obtain something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ əhɛd/ Link the words smoothly; give the strongest phrase stress to “ahead.” Keep the final /d/ audible.,decision-making,B2,v0804-s1
v0805,go along with,,phrasal verb,American phrasal verb core,agree with or accept something,phrasal verb,go along with + noun,I can go along with the plan if we add a safety check.,go along with + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go along with means agree with or accept something. By contrast, take on means accept responsibility or a challenge.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡoʊ əlɔŋ wɪð/ Link the words smoothly; give the strongest phrase stress to “with.” For /w/, round the lips; do not touch the teeth. Keep /ɪ/ short and relaxed, as in sit. Keep the final /ð/ audible.",agreement,B1-B2,v0805-s1
v0806,go around,,phrasal verb,American phrasal verb core,circulate or move through different places,phrasal verb,go around,"A stomach virus has been going around the school, so the class could connect the idea to the next activity.",go around,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","go around means circulate or move through different places. By contrast, get over means recover from an illness or difficulty.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ ɚaʊnd/ Link the words smoothly; give the strongest phrase stress to “around.” Keep the final /d/ audible.,health,B1-B2,v0806-s1
v0807,go back,,phrasal verb,American phrasal verb core,"return to a previous place, time, or topic",phrasal verb,go back to + noun,"Let’s go back to the evidence before making a conclusion, which gave the reviewers a clearer basis for evaluating the conclusion.",go back to + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go back means return to a previous place, time, or topic. By contrast, come back means return.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡoʊ bæk/ Link the words smoothly; give the strongest phrase stress to “back.” For /b/, close both lips completely. Keep the final /k/ audible.",communication,B2,v0807-s1
v0808,go by,,phrasal verb,American phrasal verb core,pass or be guided by something,phrasal verb,go by + noun,"We should go by the written policy rather than memory, so the people affected could understand the practical consequence.",go by + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go by means pass or be guided by something. By contrast, go against means oppose or conflict with something.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡoʊ baɪ/ Link the words smoothly; give the strongest phrase stress to “by.” For /b/, close both lips completely. Let /aɪ/ glide smoothly, as in my.",policy,B1-B2,v0808-s1
v0809,go down,,phrasal verb,American phrasal verb core,decrease or happen,phrasal verb,go down,"Energy use may go down after the building upgrades, which gave the people involved a clearer basis for the next step.",go down,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","go down means decrease or happen. By contrast, go up means increase.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ daʊn/ Link the words smoothly; give the strongest phrase stress to “down.” Keep the final /n/ audible.,change,B1-B2,v0809-s1
v0810,go for,,phrasal verb,American phrasal verb core,choose or try to obtain something,phrasal verb,go for + noun,"We decided to go for the simpler design, so the group could make the next decision with clearer information.",go for + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go for means choose or try to obtain something. By contrast, opt out means choose not to participate in something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ fɔr/ Link the words smoothly; give the strongest phrase stress to “for.” Keep the final /r/ audible.,decision-making,B2,v0810-s1
v0811,go off,,phrasal verb,American phrasal verb core,"make a sound, explode, or stop liking something",phrasal verb,go off,"The alarm could go off during second period, so everyone involved knew what would happen next.",go off,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","go off means make a sound, explode, or stop liking something. By contrast, fill up means make or become full.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ ɔf/ Link the words smoothly; give the strongest phrase stress to “off.” Keep the final /f/ audible.,events,B1-B2,v0811-s1
v0812,go on,,phrasal verb,American phrasal verb core,continue or happen,phrasal verb,go on,"The meeting may go on longer than expected, so the group could make the next decision with clearer information.",go on,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","go on means continue or happen. By contrast, carry on means continue an activity.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ ɑn/ Link the words smoothly; give the strongest phrase stress to “on.” Keep the final /n/ audible.,continuation,B1-B2,v0812-s1
v0813,go over,,phrasal verb,American phrasal verb core,review something carefully,phrasal verb,go over + noun,"Let’s go over the instructions one more time, which gave the teacher clearer information for the following lesson.",go over + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go over means review something carefully. By contrast, give back means return something.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡoʊ oʊvɚ/ Link the words smoothly; give the strongest phrase stress to “over.” For /v/, touch the upper teeth to the lower lip; do not replace it with /b/.",teaching,B2,v0813-s1
v0814,go through,,phrasal verb,American phrasal verb core,experience or examine something carefully,phrasal verb,go through + noun,"The committee must go through every application before deciding, which helped the manager assign the next responsibility accurately.",go through + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go through means experience or examine something carefully. By contrast, call for means require or publicly request something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ θru/ Link the words smoothly; give the strongest phrase stress to “through.”,professional,B1-B2,v0814-s1
v0815,go up,,phrasal verb,American phrasal verb core,increase,phrasal verb,go up,"The cost of materials may go up by twelve percent, so the reader could understand the intended relationship without guessing.",go up,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","go up means increase. By contrast, turn into means change from one thing to another.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡoʊ ʌp/ Link the words smoothly; give the strongest phrase stress to “up.” Keep the final /p/ audible.,change,B1-B2,v0815-s1
v0816,go with,,phrasal verb,American phrasal verb core,match or choose something,phrasal verb,go with + noun,"This chart should go with the explanation on the next slide, so the team could interpret the evidence with less uncertainty.",go with + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"go with means match or choose something. By contrast, get across means communicate an idea successfully.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡoʊ wɪð/ Link the words smoothly; give the strongest phrase stress to “with.” For /w/, round the lips; do not touch the teeth. Keep /ɪ/ short and relaxed, as in sit. Keep the final /ð/ audible.",communication,B2,v0816-s1
v0817,go without,,phrasal verb,American phrasal verb core,to experience a period in which something necessary or desired is unavailable,phrasal verb,go without + noun,"Many families had to go without power after the storm, so everyone involved knew what would happen next.",go without + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,Go without emphasizes the deprivation itself; do without emphasizes finding a way to manage despite it.,common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /ɡoʊ wɪθaʊt/ Link the words smoothly; give the strongest phrase stress to “without.” For /w/, round the lips; do not touch the teeth. Keep /ɪ/ short and relaxed, as in sit. Keep the final /t/ audible.",events,B1-B2,v0817-s1
v0818,grow apart,,phrasal verb,American phrasal verb core,gradually become less close,phrasal verb,grow apart,"The friends grew apart after moving to different cities, so everyone involved knew what would happen next.",grow apart,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","grow apart means gradually become less close. By contrast, get along means have a friendly relationship.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡroʊ əpɑrt/ Link the words smoothly; give the strongest phrase stress to “apart.” Keep the final /t/ audible.,relationships,B1-B2,v0818-s1
v0819,grow up,,phrasal verb,American phrasal verb core,become an adult,phrasal verb,grow up,"She grew up in a small town in western Nepal, so everyone involved knew what would happen next.",grow up,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","grow up means become an adult. By contrast, grow apart means gradually become less close.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /ɡroʊ ʌp/ Link the words smoothly; give the strongest phrase stress to “up.” Keep the final /p/ audible.,life story,B2,v0819-s1
v0820,hand in,,phrasal verb,American phrasal verb core,submit work,phrasal verb,hand in + noun,"Students must hand in the lab report by Monday, which gave the teacher clearer information for the following lesson.",hand in + noun,"This taught use is separable. Put a pronoun between the verb and particle: “hand it in,” not “hand in it.”","hand in means submit work. By contrast, turn in means submit something or go to bed.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /hænd ɪn/ Link the words smoothly; give the strongest phrase stress to “in.” Keep /ɪ/ short and relaxed, as in sit. Keep the final /n/ audible.",education,B1-B2,v0820-s1
v0821,hand out,,phrasal verb,American phrasal verb core,distribute something,phrasal verb,hand out + noun,"I handed out the safety goggles before the demonstration, so the class could connect the idea to the next activity.",hand out + noun,"This taught use is separable. Put a pronoun between the verb and particle: “hand it out,” not “hand out it.”","hand out means distribute something. By contrast, pass out means lose consciousness or distribute something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /hænd aʊt/ Link the words smoothly; give the strongest phrase stress to “out.” Keep the final /t/ audible.,teaching,B1-B2,v0821-s1
v0822,hand over,,phrasal verb,American phrasal verb core,give control or possession to another person,phrasal verb,hand over + noun,"The outgoing chair handed over the files to her replacement, so the group could make the next decision with clearer information.",hand over + noun,"This taught use is separable. Put a pronoun between the verb and particle: “hand it over,” not “hand over it.”","hand over means give control or possession to another person. By contrast, take over means gain control or responsibility.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /hænd oʊvɚ/ Link the words smoothly; give the strongest phrase stress to “over.” For /v/, touch the upper teeth to the lower lip; do not replace it with /b/.",workplace,B2,v0822-s1
v0823,hang around,,phrasal verb,American phrasal verb core,spend time somewhere without a clear purpose,phrasal verb,hang around,We hung around the station while waiting for the delayed train.,hang around,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","hang around means spend time somewhere without a clear purpose. By contrast, do without means manage without something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /hæŋ ɚaʊnd/ Link the words smoothly; give the strongest phrase stress to “around.” Keep the final /d/ audible.,daily life,B1-B2,v0823-s1
v0824,hang on,,phrasal verb,American phrasal verb core,wait or hold tightly,phrasal verb,hang on,Hang on for a moment while I open the document.,hang on,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","hang on means wait or hold tightly. By contrast, hang up means end a phone call or place something on a hook.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /hæŋ ɑn/ Link the words smoothly; give the strongest phrase stress to “on.” Keep the final /n/ audible.,communication,B1-B2,v0824-s1
v0825,hang out,,phrasal verb,American phrasal verb core,spend relaxed social time,phrasal verb,hang out,"The staff sometimes hang out at a coffee shop after work, which allowed the board to explain the decision more transparently.",hang out,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","hang out means spend relaxed social time. By contrast, show around means give someone a tour.",mainly conversational,IPA (stress shown separately): /hæŋ aʊt/ Link the words smoothly; give the strongest phrase stress to “out.” Keep the final /t/ audible.,social,B2,v0825-s1
v0826,hang up,,phrasal verb,American phrasal verb core,end a phone call or place something on a hook,phrasal verb,hang up,"She hung up after confirming the appointment, which reduced the chance that readers would misinterpret the message.",hang up,"This taught use is separable. Put a pronoun between the verb and particle: “hang it up,” not “hang up it.”","hang up means end a phone call or place something on a hook. By contrast, hang on means wait or hold tightly.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /hæŋ ʌp/ Link the words smoothly; give the strongest phrase stress to “up.” Keep the final /p/ audible.,communication,B1-B2,v0826-s1
v0827,hold back,,phrasal verb,American phrasal verb core,prevent progress or avoid expressing something,phrasal verb,hold + noun + back,"Fear of making mistakes can hold back language learners, which gave the teacher clearer information for the following lesson.",hold + noun + back,"This taught use is separable. Put a pronoun between the verb and particle: “hold it back,” not “hold back it.”","hold back means prevent progress or avoid expressing something. By contrast, make up for means compensate for something.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /hoʊld bæk/ Link the words smoothly; give the strongest phrase stress to “back.” For /b/, close both lips completely. Keep the final /k/ audible.",learning,B1-B2,v0827-s1
v0828,hold off,,phrasal verb,American phrasal verb core,delay an action,phrasal verb,hold off on + -ing,"We should hold off on purchasing equipment until the budget is approved, so decision makers could see how the available resources would support the stated goal.",hold off on + -ing,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"hold off means delay an action. By contrast, go for means choose or try to obtain something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /hoʊld ɔf/ Link the words smoothly; give the strongest phrase stress to “off.” Keep the final /f/ audible.,decision-making,B2,v0828-s1
v0829,hold on,,phrasal verb,American phrasal verb core,wait or keep a grip,phrasal verb,hold on,"Please hold on while I transfer your call, which reduced the chance that readers would misinterpret the message.",hold on,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","hold on means wait or keep a grip. By contrast, hang on means wait or hold tightly.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /hoʊld ɑn/ Link the words smoothly; give the strongest phrase stress to “on.” Keep the final /n/ audible.,communication,B1-B2,v0829-s1
v0830,hold up,,phrasal verb,American phrasal verb core,delay or support something,phrasal verb,hold up + noun,"A missing signature held up the application, so the group could make the next decision with clearer information.",hold up + noun,"This taught use is separable. Put a pronoun between the verb and particle: “hold it up,” not “hold up it.”","hold up means delay or support something. By contrast, put up with means tolerate something unpleasant.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /hoʊld ʌp/ Link the words smoothly; give the strongest phrase stress to “up.” Keep the final /p/ audible.,workplace,B1-B2,v0830-s1
v0831,keep away,,phrasal verb,American phrasal verb core,remain at a distance,phrasal verb,keep + noun + away,Please keep away from the electrical equipment when carrying liquids.,keep + noun + away,"This taught use is separable. Put a pronoun between the verb and particle: “keep it away,” not “keep away it.”","keep away means remain at a distance. By contrast, look out means be careful.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /kip əweɪ/ Link the words smoothly; give the strongest phrase stress to “away.” For /w/, round the lips; do not touch the teeth.",safety,B2,v0831-s1
v0832,keep on,,phrasal verb,American phrasal verb core,continue doing something,phrasal verb,keep on + -ing,"She kept on practicing until the final consonants were clear, so the class could connect the idea to the next activity.",keep on + -ing,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"keep on means continue doing something. By contrast, make up for means compensate for something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /kip ɑn/ Link the words smoothly; give the strongest phrase stress to “on.” Keep the final /n/ audible.,learning,B1-B2,v0832-s1
v0833,keep up,,phrasal verb,American phrasal verb core,continue at the same rate,phrasal verb,keep up,"The class moved quickly, but most students kept up, which gave the teacher clearer information for the following lesson.",keep up,"In this taught meaning, the verb is commonly used without a direct object. Add an object only when you know the required pattern.","keep up means continue at the same rate. By contrast, get into means become interested or involved in something.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /kip ʌp/ Link the words smoothly; give the strongest phrase stress to “up.” Keep the final /p/ audible.,education,B1-B2,v0833-s1
v0834,keep up with,,phrasal verb,American phrasal verb core,remain at the same level as someone or something,phrasal verb,keep up with + noun,"It is difficult to keep up with rapidly changing software, which gave the reviewers a clearer basis for evaluating the conclusion.",keep up with + noun,Keep the word order shown in the pattern. Do not move the particle unless you have confirmed that this phrasal verb is separable.,"keep up with means remain at the same level as someone or something. By contrast, turn on means start a device.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /kip ʌp wɪð/ Link the words smoothly; give the strongest phrase stress to “with.” For /w/, round the lips; do not touch the teeth. Keep short /ɪ/ distinct from long /i/. Keep the final /ð/ audible.",technology,B2,v0834-s1
v0835,kick off,,phrasal verb,American phrasal verb core,begin an event or project,phrasal verb,kick off + noun,"We’ll kick off the workshop with a short diagnostic activity, which helped the group avoid a preventable misunderstanding.",kick off + noun,"This taught use is separable. Put a pronoun between the verb and particle: “kick it off,” not “kick off it.”","kick off means begin an event or project. By contrast, go without means manage without something.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /kɪk ɔf/ Link the words smoothly; give the strongest phrase stress to “off.” Keep /ɪ/ short and relaxed, as in sit. Keep the final /f/ audible.",events,B1-B2,v0835-s1
v0836,lay off,,phrasal verb,American phrasal verb core,dismiss workers because work or money is limited,phrasal verb,lay off + person,"The company laid off several employees during the downturn, so the group could make the next decision with clearer information.",lay off + person,"This taught use is separable. Put a pronoun between the verb and particle: “lay them off,” not “lay off them.”","lay off means dismiss workers because work or money is limited. By contrast, count on means depend on someone or expect something to happen.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /leɪ ɔf/ Link the words smoothly; give the strongest phrase stress to “off.” Keep the final /f/ audible.,workplace,B1-B2,v0836-s1
v0837,lay out,,phrasal verb,American phrasal verb core,arrange or explain clearly,phrasal verb,lay out + noun,"The proposal lays out three options for improving attendance, so school leaders could evaluate the costs, benefits, and likely effects of each alternative.",lay out + noun,"This taught use is separable. Put a pronoun between the verb and particle: “lay it out,” not “lay out it.”","lay out means arrange or explain clearly. By contrast, talk through means explain a process step by step.",common in conversation; many uses also fit professional speech,IPA (stress shown separately): /leɪ aʊt/ Link the words smoothly; give the strongest phrase stress to “out.” Keep the final /t/ audible.,communication,B2,v0837-s1
v0838,leave out,,phrasal verb,American phrasal verb core,omit something,phrasal verb,leave out + noun,Do not leave out the units when you report the measurement.,leave out + noun,"This taught use is separable. Put a pronoun between the verb and particle: “leave it out,” not “leave out it.”","leave out means omit something. By contrast, do over means do something again.",common in conversation; many uses also fit professional speech,"IPA (stress shown separately): /liv aʊt/ Link the words smoothly; give the strongest phrase stress to “out.” For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. Keep the final /t/ audible.",STEM,B1-B2,v0838-s1
